epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.155,1.45564,2.56682,1.70739,0.63079,0.19518,0.17734,0.09894,1.60298,3.14198,2.08395,0.000174561,0.000174561,0.000174561
2,413.63,1.51316,2.19477,1.77199,0.64013,0.21984,0.21122,0.1146,1.64182,2.86374,2.11404,0.000332575,0.000332575,0.000332575
3,620.575,1.54625,2.21909,1.79465,0.60274,0.214,0.16755,0.09128,1.75638,3.33299,2.19936,0.00047323,0.00047323,0.00047323
4,826.401,1.52411,2.1098,1.78153,0.64179,0.22855,0.22219,0.12295,1.6751,2.38107,2.13821,0.000447889,0.000447889,0.000447889
5,1031.85,1.46184,1.92923,1.73093,0.72868,0.26495,0.27942,0.16903,1.55435,2.05655,2.00761,0.000421852,0.000421852,0.000421852
6,1237.51,1.42338,1.7816,1.71109,0.68748,0.28148,0.32667,0.19056,1.58152,1.94412,2.00987,0.000395815,0.000395815,0.000395815
7,1442.13,1.39403,1.7561,1.6799,0.69847,0.31203,0.35312,0.22071,1.45573,1.79553,1.90932,0.000369778,0.000369778,0.000369778
8,1644.54,1.35295,1.61627,1.64105,0.68646,0.33342,0.37945,0.24011,1.37846,1.72459,1.83183,0.000343741,0.000343741,0.000343741
9,1845.83,1.31398,1.54234,1.6229,0.60506,0.36205,0.41509,0.24886,1.41333,1.5735,1.8289,0.000317704,0.000317704,0.000317704
10,2047.68,1.28702,1.43764,1.59106,0.76399,0.36018,0.42375,0.27293,1.33623,1.52881,1.79692,0.000291667,0.000291667,0.000291667
11,2249.42,1.26239,1.28108,1.63864,0.72449,0.36167,0.4406,0.28419,1.36381,1.46453,1.79953,0.00026563,0.00026563,0.00026563
12,2450.09,1.23848,1.22232,1.61117,0.71307,0.43076,0.48979,0.31637,1.30413,1.35575,1.77845,0.000239593,0.000239593,0.000239593
13,2650.84,1.19555,1.11557,1.57399,0.5824,0.43477,0.49376,0.3273,1.25346,1.28823,1.69957,0.000213556,0.000213556,0.000213556
14,2851.25,1.16382,1.03254,1.54943,0.62397,0.4581,0.50765,0.33426,1.25755,1.31211,1.73446,0.000187519,0.000187519,0.000187519
15,3051.91,1.13998,0.99067,1.5325,0.61276,0.48847,0.51178,0.34304,1.24171,1.276,1.7038,0.000161482,0.000161482,0.000161482
16,3252.1,1.10172,0.91213,1.48752,0.67063,0.52618,0.57065,0.37345,1.22499,1.15792,1.68322,0.000135445,0.000135445,0.000135445
17,3452.38,1.0754,0.86142,1.48139,0.60367,0.53492,0.55796,0.37253,1.20344,1.14026,1.66595,0.000109408,0.000109408,0.000109408
18,3652.69,1.04306,0.81357,1.45457,0.6594,0.51706,0.60269,0.40212,1.18587,1.05281,1.65263,8.3371e-05,8.3371e-05,8.3371e-05
19,3853.05,1.02244,0.76542,1.4357,0.67133,0.54384,0.6131,0.4185,1.16694,1.0543,1.63528,5.7334e-05,5.7334e-05,5.7334e-05
20,4056.02,0.99709,0.7203,1.41225,0.68389,0.56792,0.61428,0.41676,1.15149,0.98112,1.61803,3.1297e-05,3.1297e-05,3.1297e-05
