epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.596,1.5143,2.87606,1.86828,0.3647,0.14654,0.01854,0.0066,2.36151,10.6627,3.53246,0.0672895,0.000330409,0.000330409
2,263.64,1.52673,2.2731,1.8616,0.37766,0.21061,0.1658,0.08595,1.8511,2.66636,2.4547,0.0342829,0.000657172,0.000657172
3,393.157,1.52672,2.16232,1.86041,0.54211,0.1785,0.16631,0.09293,1.77557,2.82553,2.38391,0.00126973,0.000977334,0.000977334
4,522.351,1.50695,2.12333,1.85934,0.58766,0.23808,0.19208,0.09865,1.6923,2.7584,2.36278,0.0009703,0.0009703,0.0009703
5,651.778,1.47882,1.99837,1.82935,0.59837,0.24527,0.2221,0.1187,1.70849,2.66725,2.28897,0.0009604,0.0009604,0.0009604
6,781.115,1.44586,1.89117,1.79462,0.60428,0.2855,0.26305,0.15161,1.56447,2.16534,2.11439,0.0009505,0.0009505,0.0009505
7,910.146,1.41632,1.82126,1.77733,0.73,0.3048,0.31468,0.19448,1.56874,1.97784,2.17115,0.0009406,0.0009406,0.0009406
8,1039.06,1.3962,1.74272,1.76243,0.68279,0.28219,0.31528,0.19922,1.49303,2.03378,2.14254,0.0009307,0.0009307,0.0009307
9,1167.76,1.37611,1.7053,1.75296,0.55206,0.30702,0.35024,0.21621,1.52096,1.87392,2.09888,0.0009208,0.0009208,0.0009208
10,1296.45,1.36729,1.6333,1.74106,0.49043,0.34641,0.36045,0.21441,1.47652,1.82168,2.03358,0.0009109,0.0009109,0.0009109
11,1425.2,1.34773,1.58415,1.72458,0.61467,0.29214,0.33736,0.20691,1.444,1.91895,2.0829,0.000901,0.000901,0.000901
12,1553.89,1.32452,1.55143,1.71523,0.69984,0.3111,0.35346,0.21717,1.48365,1.80289,2.09679,0.0008911,0.0008911,0.0008911
13,1682.59,1.30816,1.49736,1.70117,0.58012,0.39003,0.41081,0.26199,1.35803,1.56772,1.94329,0.0008812,0.0008812,0.0008812
14,1811.51,1.28125,1.46266,1.66647,0.67486,0.36144,0.42222,0.26816,1.35133,1.54104,1.92712,0.0008713,0.0008713,0.0008713
15,1940.3,1.28462,1.42996,1.67119,0.6368,0.37877,0.42917,0.27384,1.32959,1.5376,1.92611,0.0008614,0.0008614,0.0008614
16,2069.25,1.27398,1.38932,1.64624,0.7784,0.39624,0.45887,0.29699,1.3355,1.41643,1.87957,0.0008515,0.0008515,0.0008515
17,2198.22,1.27099,1.36376,1.6622,0.62371,0.39477,0.43843,0.27491,1.33059,1.50237,1.94129,0.0008416,0.0008416,0.0008416
18,2326.93,1.26737,1.33592,1.64981,0.64748,0.38155,0.45665,0.29719,1.32988,1.40513,1.89048,0.0008317,0.0008317,0.0008317
19,2455.54,1.23659,1.32543,1.62176,0.61983,0.39548,0.44748,0.29406,1.32653,1.45147,1.9075,0.0008218,0.0008218,0.0008218
20,2584.03,1.24209,1.27716,1.61817,0.49477,0.48151,0.45966,0.30098,1.28886,1.40649,1.82358,0.0008119,0.0008119,0.0008119
21,2712.87,1.23152,1.2519,1.6079,0.59018,0.42978,0.48836,0.31371,1.3443,1.39681,1.94118,0.000802,0.000802,0.000802
22,2841.43,1.219,1.25644,1.60535,0.68436,0.41771,0.49813,0.32169,1.31674,1.28192,1.87189,0.0007921,0.0007921,0.0007921
23,2970.29,1.21758,1.22101,1.59954,0.67603,0.46307,0.52013,0.33724,1.28697,1.25611,1.84677,0.0007822,0.0007822,0.0007822
24,3099.08,1.19055,1.21646,1.58608,0.68324,0.43253,0.48839,0.32143,1.29454,1.29819,1.84588,0.0007723,0.0007723,0.0007723
25,3227.69,1.18172,1.17518,1.58695,0.484,0.49998,0.5014,0.32472,1.25046,1.24807,1.83335,0.0007624,0.0007624,0.0007624
26,3356.42,1.16646,1.16622,1.57004,0.6178,0.46805,0.51736,0.3452,1.26074,1.22645,1.81341,0.0007525,0.0007525,0.0007525
27,3484.99,1.1856,1.15884,1.57578,0.56426,0.53235,0.55454,0.3691,1.22795,1.16382,1.80807,0.0007426,0.0007426,0.0007426
28,3613.59,1.16515,1.11997,1.56553,0.50822,0.54151,0.54795,0.35946,1.25125,1.21761,1.81689,0.0007327,0.0007327,0.0007327
29,3742.09,1.16517,1.11659,1.56979,0.58593,0.5359,0.55389,0.36629,1.25733,1.17391,1.81933,0.0007228,0.0007228,0.0007228
30,3870.35,1.16329,1.1146,1.56597,0.60317,0.51702,0.5459,0.35588,1.22538,1.23635,1.82526,0.0007129,0.0007129,0.0007129
31,3998.72,1.13826,1.06251,1.54613,0.54779,0.5494,0.59761,0.36766,1.2564,1.21482,1.84195,0.000703,0.000703,0.000703
32,4127.27,1.15326,1.09441,1.55824,0.58459,0.55149,0.5712,0.36305,1.26052,1.17063,1.85594,0.0006931,0.0006931,0.0006931
33,4255.74,1.145,1.06268,1.54706,0.65131,0.49342,0.54909,0.36451,1.25135,1.14495,1.82048,0.0006832,0.0006832,0.0006832
34,4384.37,1.1561,1.06763,1.54525,0.7309,0.49407,0.58187,0.39141,1.22955,1.09664,1.81832,0.0006733,0.0006733,0.0006733
35,4512.97,1.11848,1.02167,1.52534,0.65168,0.52901,0.57869,0.38066,1.23081,1.07793,1.80136,0.0006634,0.0006634,0.0006634
36,4641.48,1.12396,0.99245,1.51686,0.60876,0.58528,0.61025,0.40468,1.21425,1.03716,1.79484,0.0006535,0.0006535,0.0006535
37,4770.25,1.12684,1.01042,1.52472,0.70951,0.50712,0.59316,0.39243,1.22952,1.10169,1.80157,0.0006436,0.0006436,0.0006436
38,4898.93,1.10406,0.97147,1.51082,0.56429,0.57214,0.61039,0.38597,1.20997,1.07887,1.78682,0.0006337,0.0006337,0.0006337
39,5027.59,1.10517,0.98803,1.51061,0.68385,0.60006,0.6831,0.42581,1.20044,1.00064,1.75096,0.0006238,0.0006238,0.0006238
40,5156.33,1.10009,0.96204,1.50066,0.61249,0.56914,0.61475,0.40233,1.21667,1.03621,1.7684,0.0006139,0.0006139,0.0006139
41,5284.86,1.08498,0.95967,1.50134,0.6173,0.643,0.66296,0.42763,1.20702,0.96136,1.74836,0.000604,0.000604,0.000604
42,5413.47,1.09996,0.94487,1.49084,0.67732,0.59526,0.63743,0.4207,1.19776,0.90824,1.76192,0.0005941,0.0005941,0.0005941
